last_name,first_name,player_age,handedness,position,mode_amateur_acquisition,division,b_total_pa,b_home_run,b_hr_rate,b_k_percent,b_bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,b_rbi,b_lob,b_gnd_into_dp,b_intent_walk,b_sac_fly,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,whiff_percent,pull_percent,straightaway_percent,opposite_percent,groundballs_percent,flyballs_percent,linedrives_percent,,,,
Cabrera,Miguel,38,R,DH,IFA,ALC,526,15,2.851711027,22.4,7.6,0.256,0.386,0.316,0.701,0.129,75,200,21,0,9,0.234,0.42,0.305,0.315,0.301,0.186,91.4,10,32.8,8.3,8.5,49,69.1,18.1,30.3,42.8,25.8,32.8,37.2,30,49,25.9,21.5,,,,
Cruz Jr.,Nelson,41,R,DH,IFA,ALC,584,32,5.479452055,21.6,8.7,0.265,0.497,0.332,0.829,0.232,86,219,14,10,9,0.265,0.514,0.346,0.364,0.341,0.249,92.9,11.8,31.8,13.6,8.1,52.5,73.8,22.6,31,47.5,30.7,36.6,36.4,27,43.4,25.5,22,,,,
Peralta,David,34,L,LF,IFA,NLW,538,8,1.486988848,17.1,8.6,0.259,0.402,0.325,0.728,0.144,63,214,9,3,2,0.243,0.345,0.314,0.293,0.313,0.103,89.3,5.3,27.2,5,4.5,41.8,66.6,13.4,27,40.1,21.3,31.2,40.8,28,54.9,15.6,23.2,,,,
Blackmon,Charlie,35,L,RF,C,NLW,582,13,2.233676976,15.6,9.3,0.27,0.411,0.351,0.761,0.14,78,231,8,1,3,0.292,0.457,0.333,0.361,0.37,0.165,87.6,10.2,32.6,7,3.5,38.5,67.8,14.2,26.2,36.2,20.2,35.7,41.8,22.5,47.4,22.3,24.4,,,,
McCutchen,Andrew,35,R,LF,HS,NLE,574,27,4.703832753,23,14.1,0.222,0.444,0.334,0.778,0.222,80,200,10,2,7,0.24,0.431,0.335,0.344,0.352,0.191,88.8,14.6,33.6,9,8.4,39.5,63.7,18.9,19.1,49.5,25.9,48.7,32.8,18.5,40.9,30.5,21.6,,,,
Turner,Justin,37,R,3B,C,NLW,612,27,4.411764706,16,10,0.278,0.471,0.361,0.832,0.193,87,241,12,0,6,0.27,0.47,0.358,0.359,0.358,0.199,90.9,19.2,36.5,7.9,8.6,42.4,66.9,13.2,22.6,30.7,17.7,31.3,38.5,30.2,35.4,33.1,24.5,,,,
Votto,Joey,38,L,1B,HS,NLC,533,36,6.754221388,23.8,14.4,0.266,0.563,0.375,0.938,0.297,99,194,7,6,4,0.274,0.592,0.391,0.406,0.383,0.318,92.9,18.2,44.3,17.2,9.2,53.2,68.1,22.4,21.7,49.4,29.4,40.9,36.9,22.2,33.2,36.9,25.2,,,,
Andrus,Elvis,33,S,SS,IFA,ALW,541,3,0.554528651,15,5.7,0.243,0.32,0.292,0.612,0.076,37,220,14,2,4,0.273,0.375,0.27,0.308,0.324,0.102,87.8,8.1,34,2.1,5.9,34.8,66,10.3,31.7,39,19.6,32.2,42.3,25.5,47,17.5,28.4,,,,
Santana,Carlos,35,S,1B,IFA,ALC,659,19,2.883156297,15.5,13.1,0.214,0.342,0.319,0.66,0.127,69,251,12,3,5,0.244,0.422,0.294,0.335,0.345,0.178,89.9,12.9,28,6.8,7.1,41.9,66.9,16.7,22.5,37,22.2,43.4,39.3,17.1,45.3,26.5,19.2,,,,
Lowrie,Jed,37,S,2B,C,ALW,512,14,2.734375,21.1,9.6,0.245,0.398,0.318,0.717,0.153,69,187,8,1,4,0.259,0.465,0.311,0.344,0.332,0.206,90.7,16.4,36.5,9.3,9.6,45.9,70.9,18.2,20.6,46.5,24.2,37.1,39.7,23.2,36.8,32.6,24.9,,,,
